index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Generation Actual (in MU),Total Generation Estimated (in MU),Year,Month,DayOfWeek
0,2017-09-01,Northern,624.23,484.21,30.36,35.57,63.36,65.3,717.95,585.0799999999999,2017,9,4
2,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78,750.96,693.1299999999999,2017,9,4
3,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,526.96,498.75,2017,9,4
4,2017-09-01,NorthEastern,29.11,15.91,0.0,0.0,24.64,21.21,53.75,37.120000000000005,2017,9,4
5,2017-09-02,Northern,624.23,507.42,30.36,35.69,63.36,65.3,717.95,608.41,2017,9,5
7,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49,750.96,675.04,2017,9,5
8,2017-09-02,Eastern,441.02,425.75,0.0,0.0,85.94,74.18,526.96,499.93,2017,9,5
9,2017-09-02,NorthEastern,29.11,16.5,0.0,0.0,24.64,20.81,53.75,37.31,2017,9,5
10,2017-09-03,Northern,624.23,492.69,30.36,35.65,63.36,65.3,717.95,593.64,2017,9,6
12,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53,746.46,631.3299999999999,2017,9,6
13,2017-09-03,Eastern,445.38,427.61,0.0,0.0,85.94,71.05,531.3199999999999,498.66,2017,9,6
14,2017-09-03,NorthEastern,29.11,15.52,0.0,0.0,24.64,23.84,53.75,39.36,2017,9,6
15,2017-09-04,Northern,624.23,568.34,30.36,35.62,63.36,65.3,717.95,669.26,2017,9,0
17,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2,746.46,682.2,2017,9,0
18,2017-09-04,Eastern,445.38,450.85,0.0,0.0,85.94,75.21,531.3199999999999,526.0600000000001,2017,9,0
19,2017-09-04,NorthEastern,29.11,16.85,0.0,0.0,24.64,24.1,53.75,40.95,2017,9,0
20,2017-09-05,Northern,628.58,597.08,30.36,35.72,63.36,65.3,722.3000000000001,698.1,2017,9,1
22,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0,750.6500000000001,686.2199999999999,2017,9,1
23,2017-09-05,Eastern,449.92,459.09,0.0,0.0,85.94,70.29,535.86,529.38,2017,9,1
24,2017-09-05,NorthEastern,29.11,16.64,0.0,0.0,24.64,22.86,53.75,39.5,2017,9,1
25,2017-09-06,Northern,628.58,628.93,30.36,35.86,63.36,65.3,722.3000000000001,730.0899999999999,2017,9,2
27,2017-09-06,Southern,576.35,549.1,62.73,53.41,111.57,58.7,750.6500000000001,661.21,2017,9,2
28,2017-09-06,Eastern,449.92,464.82,0.0,0.0,85.94,76.43,535.86,541.25,2017,9,2
29,2017-09-06,NorthEastern,29.11,16.44,0.0,0.0,24.64,27.8,53.75,44.24,2017,9,2
30,2017-09-07,Northern,628.48,651.03,30.36,35.86,63.36,65.3,722.2,752.1899999999999,2017,9,3
32,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52,760.28,674.4499999999999,2017,9,3
33,2017-09-07,Eastern,449.92,461.96,0.0,0.0,85.94,75.34,535.86,537.3,2017,9,3
34,2017-09-07,NorthEastern,29.11,20.71,0.0,0.0,24.64,24.12,53.75,44.83,2017,9,3
35,2017-09-08,Northern,628.48,689.88,30.36,35.68,63.36,65.3,722.2,790.8599999999999,2017,9,4
37,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92,764.9300000000001,670.4499999999999,2017,9,4
38,2017-09-08,Eastern,455.66,454.88,0.0,0.0,85.94,81.48,541.6,536.36,2017,9,4
39,2017-09-08,NorthEastern,29.11,20.85,0.0,0.0,24.64,24.32,53.75,45.17,2017,9,4
40,2017-09-09,Northern,631.16,717.43,30.36,35.58,63.36,65.3,724.88,818.31,2017,9,5
42,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25,764.04,675.47,2017,9,5
43,2017-09-09,Eastern,455.66,455.25,0.0,0.0,85.94,80.46,541.6,535.71,2017,9,5
44,2017-09-09,NorthEastern,29.11,18.92,0.0,0.0,24.64,24.94,53.75,43.86,2017,9,5
45,2017-09-10,Northern,620.05,729.84,30.36,35.72,63.36,65.3,713.77,830.86,2017,9,6
47,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99,764.04,654.89,2017,9,6
48,2017-09-10,Eastern,455.66,432.59,0.0,0.0,85.94,72.65,541.6,505.24,2017,9,6
49,2017-09-10,NorthEastern,29.11,23.01,0.0,0.0,24.64,26.7,53.75,49.71,2017,9,6
50,2017-09-11,Northern,623.3,733.92,30.36,35.66,63.36,65.3,717.02,834.8799999999999,2017,9,0
